ime,delodajalec,opis,kategorija,regija
Frontend razvijalec ,Be Healthy d.o.o.,Ker je zdrav način življenja vedno bolj vpleten v našo vsakdanjo rutino  ne zamudite priložnosti in se pridružite naši ekipi FutuNature.,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,Etrel d.o.o.,ETREL je eden izmed pionirjev pametnega polnjenja električnih vozil  ki oblikuje prihodnost e-mobilnosti po vsem svetu.,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,GEN-I  d.o.o.,Prepričani smo  da so talenti prihodnosti izrazito značajsko in osebnostno odprti  željni medsebojnega sodelovanja in povezovanja znotraj številnih projektov ter področij ter sposobni hitrega prilagajanja dinamičnim razmeram organizacijskih struktur. ,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,SRC d.o.o.,Ključnega pomena za sodelovanje v naših ekipah je vaša kreativnost  sposobnost sodelovanja v skupini in veselje do dela s sodobnimi tehnologijami. Specializacija  certifikati in zaključena formalna izobrazba niso edini pogoj  so pa prijetna popestritev v vaši prijavi.,matematika-fizika-in-naravoslovje,gorenjska
Informatik ,Roltek d.o.o.,Vas veseli dinamično delo v oddelku informatike? Ste pripravljeni na nove izzive in si želite nadgraditi vaše znanje? Ste pozitivni  odgovorni in motivirani in si želi s svojim znanjem in zavzetostjo pripomoči  k nadaljnji rasti podjetja in samega sebe? V kolikor ste 3x odgovorili DA  ne zamudite in se prijavite na prosto delavno mesto INFORMATIK v podjetju ROLTEK.,matematika-fizika-in-naravoslovje,gorenjska
Preskusni inženir ,BMM Spain Testlabs  S.L.  podružnica v Slovenij,Iščemo več profilov (vlog) preskusnih inženirjev. Preskusni inženir lahko opravlja eno od naslednjih vlog:Funkcionalno preskušanje  Matematik / matematični analitik  Programer  Strokovnjak za informacijsko varnost.. Konkurenčna plača  izkušena  dinamična in dostopna ekipa. ,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,Holding Slovenske elektrarne d.o.o.,Izkušnje  znanje ter motivacija zaposlenih so za nas izjemnega pomena  zato zaposlovanje novih sodelavk in sodelavcev  njihovo uvajanje in delo ter njihov osebni in strokovni razvoj skrbno načrtujemo. Pri ustvarjanju pozitivnega delovnega okolja delovne zahteve in rezultate združujemo z zadovoljstvom in dobrimi medsebojni odnosi.,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,Krka  tovarna zdravil  d. d.  N,Od novih sodelavcev pričakujemo pripravljenost na delovanje v mednarodnem podjetju  samostojnost in samoiniciativnost pri delu. Prav tako pričakujemo strokovnost in pripravljenost na nenehno izpopolnjevanje znanj.,matematika-fizika-in-naravoslovje,gorenjska
DBA – Administrator podatkovnih baz ali DevOps inženir ,Informatika d.o.o.,Če vas zanima delo z bazami podatkov ali na DevOps področju  izkoristi priložnost in se pridruži naši ekipi.,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,SIQ Ljublj,Iščemo strokovnjake na področju ekologije  trajnosti  varovanja okolja  certificiranja medicinskih pripomočkov.,matematika-fizika-in-naravoslovje,gorenjska
Različni profili ,Novartis d.o.o.,Zavedamo se  da so motivirani in zavzeti posamezniki predpogoj za uspešno opravljeno delo. Sledimo Novartisovi strategiji in si z različnimi dejanji in pristopi prizadevamo spodbuditi naše zaposlene  da izkoristijo svoje potenciale. Ustvarjamo opolnomočeno  vedoželjno in navdihujočo kulturo  ki temelji na integriteti in vrednotenju raznolikosti.,matematika-fizika-in-naravoslovje,gorenjska
Inženir za telekomunikacijska omrežja ,Manpower d.o.o.,Za našega naročnika  uspešno mednarodno podjetje  iščemo Razvojnega Inženirja za področje telekomunikacijskih omrežij m/ž.,matematika-fizika-in-naravoslovje,gorenjska
Senior Java Developer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior Java Developer (m/ž)&quot;,matematika-fizika-in-naravoslovje,gorenjska
Delphi programer - arhitekt ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo Delphi programerja - arhitekta m/ž za delo v Ljubljani ali Novi Gorici.,matematika-fizika-in-naravoslovje,gorenjska
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,matematika-fizika-in-naravoslovje,gorenjska
Middle QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Middle QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,gorenjska
Senior QA Engineer ,Manpower d.o.o.,Za uspešno in mednarodno podjetje  iščemo perspektivne kandidate  ki bodo zasedli delovno mesto &quot;Senior QA Engineer (m/ž)&quot;,matematika-fizika-in-naravoslovje,gorenjska
Vodja pisarne  v Mengšu,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v hitro rastočem dinamičnem okolju in vas veseli delo z mednarodno ekipo? Povežite se z nami!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Področni vodja prodaje ,Intra Lighting d.o.o.,Ključne naloge in odgovornosti: izvajanje strategije in pomoč pri vodenju prodajne mreže v Sloveniji  tehnična projektno prodajna podpora za obstoječe ključne kupce  priprava predloga planov in doseganje zastavljenih prodajnih ciljev ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodaje na spletnih tržnica,D4 WEB D.O.O.,vne naloge: Strateško in operativno upravljanje v naprej določenih nalog  organizacija  vodenje pogajanj in implementacija novih tržnic ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja mednarodnih prevozov,Gebruder Weiss d.o.o.,Naloge in odgovornosti: Vodenje operative na področju LTL / FTL transportov določanje in izvajanje ciljev znotraj ekipe  optimizacija posla.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor komerciale za Adria regijo ,HSG KARIERA,Za našega naročnika  mednarodno modno podjetje  ki ponuja več kot 20 blagovnih znamk  iščemo direktorja komerciale (Adria regija).,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja službe I za odnose z avtorji in javnostmi,Mladinska knjiga Založba  d.d.,Primarna odgovornost vodje korporativnega komuniciranja je razvijati in izvajati komunikacijske strategije  ki bodo Mladinski knjigi pomagale učinkoviteje dosegati njene cilje  hkrati pa utrditi ugled in odnose s ključnimi deležniki. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Gradbeni inženir – vodja gradbišča ,KOLEKTOR CPG d.o.o.,Gradbene inženirje iščemo v družbah Kolektor Koling d.o.o. in Kolektor CPG d.o.o. za potrebe gradbišč po Sloveniji in v Kvarnerju. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Matematiki  računovodje  C# programerji,Seyfor d.o.o.,gitalizacija odpira številna delovna mesta tudi pri nas - razpisanih imamo 5 prostih mest.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja IT projektov ,Mikrografija d.o.o.,bsega predvsem: načrtovanje  organiziranje in vodenje del na projektih razvoja in implementacije programskih rešitev; spremljanje procesov in koordinacijo dela; spremljanje kakovosti  stroškov in časovne skladnosti s pogodbenimi obveznostmi; pripravo in skrb za projektno dokumentacijo ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja operacij (Operations Manager),Raycap d.o.o.,V svoj tim vabimo Operations managerja  ki bi bil s svojim znanjem in izkušnjami pripravljen sprejeti izziv in se osebno ter strokovno razvijati v mednarodnem podjetju.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov ,Manpower d.o.o.,Za našega naročnika  uspešno podjetje  ki se ukvarja z digitalizacijo poslovnih procesov  iščemo kandidata za delovno mesto &#39;&#39;Vodja projektov m/ž&#39;&#39;.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja v farmaciji - junior,Trenkwalder d.o.o.,Naš partner  Porton Pharma Solutions Ltd. je v farmacevtski industriji uveljavljeno podjetje  ki kot pogodbeni partner zagotavlja inovativne  zanesljive in celovite storitve raziskav in razvoja ter proizvodnje. Si želite delovati v ekspertni  mednarodni ekipi in imeti na razpolago opremo  ki je v skladu z najnovejšimi trendi v farmacevtski industriji? Povežite se z nami!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Koordinator sprememb potiskane ovojnine ,HSG KARIERA,Za našega naročnika  priznano mednarodno farmacevtsko podjetje  iščemo nove sodelavce na delovnem mestu Koordinator sprememb potiskane ovojnine m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Poslovni analitik ,HSG KARIERA,Za našega naročnika  enega izmed vodilnih ponudnikov energetskih rešitev na slovenskem trgu  iščemo osebo za zasedbo pozicije Poslovni analitik m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Samostojni svetovalec prodaje ,NLB Lease&amp;Go d.o.o.,Smo zagotovo podjetje  ki skrbi za rast in razvoj zaposlenih. Prav tako smo ekipa inovativnih  ambicioznih in strastnih ljudi  ki v svojo ekipo vabi Samostojnega svetovalca prodaje. In ne nazadnje  smo podjetje – NLB Lease&amp;Go  ki bomo v prihodnje še rasli. Želiš to početi skupaj z nami? Poglej kaj ponujamo in se prijavi!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Trainee program - razvoj vodilnih kadrov v prodaji,M&#214;MAX LES-MMS trgovska družba d.o.o.,Po uspešno zaključenem programu ste odgovorni za vodenje oddelka ali prodaje ter motivacijo in razvoj svojega tima. Prodajalce usmerjate pri prodaji  izvajate redne razgovore ter skrbite za sortiment in urejenost prodajnih prostorov. Prav tako sami aktivno prodajate.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Trainee v prodaji  - 30 ali 40 ur/teden,M&#214;MAX LES-MMS trgovska družba d.o.o.,Iščemo kandidate  ki so pripravljeni na izzive  so visoko motivirani in odločni  orientirani k rezultatom in iskanju rešitev  sposobni vodenja ljudi ter se hitro učijo.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Izkušeni prodajni svetovalec / Vodja izmene  -SINSAY,LPP FASHION d.o.o.,Tvoja misija: vodenje izmene v sodelovanju z vodjo trgovine  usposabljanje in motiviranje prodajnih svetovalcev ter spremljanje njihovega dela..,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja investicijskih projektov ,Petrol d.d.,Z izbranim kandidatom bomo sklenili delovno razmerje za nedoločen čas s 6-mesečnim poskusnim obdobjem.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov in tehnični svetovalec  delo v prodaji ,Geberit proizvodnja d.o.o.,Naloge: določanje ciljev tehničnega svetovanja in planiranje aktivnosti s ciljnimi skupinami na področju Slovenije  Kosova in Albanije  analiza in ocenjevanje trga ter določanje strateških ciljev ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Produktni vodja ,FirstClass  kadrovsko svetovanje  d.o.o.,Za našega partnerja  organizacijo Evropska mladinska kartica  iščemo mladega  motiviranega in zagnanega sodelavca.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,upravljanje-svetovanje-vodenje,osrednjeslovenska
PLC Programer,St&#246;cklin logistika d.o.o.,Zaposlitev bo sklenjena za nedoločen čas (s 3-mesečno poskusno dobo) pri švicarskem podjetju St&#246;cklin Logistika  ki je v Ljubljani (Slovenija) ustanovilo programsko kompetenčni center vzhod. Naša super ekipa zaposlenih išče dodatne člane  ki bodo zagotavljali programske rešitve za cel svet.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodaje,MUK TRADING D.O.O.,Zahteve: Zaključena tehnična visokošolska izobrazba  najmanj 3 leta izkušenj na podobnem delovnem mestu ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Koordinator sprememb potiskane ovojnine ,HSG KARIERA,Za našega naročnika  priznano mednarodno farmacevtsko podjetje  iščemo nove sodelavce na delovnem mestu Koordinator sprememb potiskane ovojnine m/ž.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja računovodstva ,Harvey Norman Trading d.o.o.,bsega: zagotavljanje ažurnost računovodskih podatkov  priprava periodičnih in letnih obračunov družbe  priprava konsolidiranih računovodskih izkazov za skupino ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Tehnični direktor ,Rotis d.o.o.,Opis del in nalog: planiranje  organizacija dela in vodenje Oddelka tehnike  ki obsega Odsek tehnologije  Odsek konstrukcije in Odsek razvoja aplikacij in aplikativnih orodij  izvajanje strateških ciljev in sodelovanje pri oblikovanju razvojne strategije...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja spletnega centra ,Spar Slovenija d.o.o.,V ekipo spletne prodaje vabimo dobro organizirano in zanesljivo osebo  da se nam pridruži na delovnem mestu:Vodja spletnega centra (m/ž),upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov za urejanje delovnih dovoljenj ,AGADO HR d.o.o.,Naš naročnik je računovodski servis iz Ljubljane  ki že več kot 25 let svojim naročnikom zagotavlja hitre in učinkovite računovodske storitve. V podjetju vlada medsebojna povezanost in sproščenost. V svojo ekipo vabijo vodjo projektov za urejanje delovnih dovoljenj. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja voznikov ,Klemen Transport  Klemen Piškur s.p.,Od kandidata pričakujemo: zaključena vsaj VI. I. stopnja izobrazbe strokovne smeri ali druga ustrezna izobrazba  vsaj 3 leta delovnih izkušenj na podobnem delovnem mestu v prevoznem podjetju  poznavanje zakonodaje in regulativ na področju transporta  poznavanje dela z računalnikom (MS Office…).,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja poprodaje ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  ki deluje kot pooblaščeni prodajalec in serviser vozil priznanih znamk  iščemo motivirane kandidate za prosto delovno mesto „Vodja poprodaje“ m/ž. Če bi se radi pridružili prijetni ekipi  berite dalje. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Pravnik ,Atama agencija za zaposlovanje  d.o.o.,Uspešno podjetje  ki ga odlikujeta bogata tradicija in inovativni pristopi  išče okrepite v pravni pisarni! Podjetje ponuja fleksibilen urnik in hibridni način dela!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja proizvodnje ,MDM  d.o.o.,Naloge in odgovornosti: načrtovanje  organizacija in optimizacija proizvodnje  skrb za motiviranost  razvoj in učinkovito delo zaposlenih v proizvodnji...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja programskega inženiringa ,Cosylab d.d.,Iščemo motiviranega in izkušenega vodjo programskega inženiringa  ki se bo pridružil našemu Scientific Services oddelku in prispeval k zagotavljanju celovitih programskih rešitev  ki poganjajo najbolj zapletene in sofisticirane sisteme na svetu  kot so pospeševalniki delcev  velike mreže teleskopov in fuzijski reaktorji. Veselimo se vaše prijave!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja,DZS GRAFIK d.o.o.,Opis: prodaja grafičnih storitev (tiskarskih kapacitet) na tuje trge (angleško in nemško govorno področje)  priprava ponudb in samostojno vodenje projektov  organizacija transporta  komercialno — marketinška opravila ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov za elektro dela ,IMP  d.d.,Opis delovnega mesta: vodenje in organiziranje del na visokih in/ali nizkih gradnjah (iz elektro področja); zagotavljanje kakovosti del s projektno in drugo tehnično oz. gradbeno dokumentacijo; sodelovanje z naročnikom  nadzorom in izvajalci ter drugimi pristojnimi osebami; nadzor nad izvedenimi deli podizvajalcev oz. kooperantov ter obračunov del.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor centra oskrbe ,HSG KARIERA,Skupaj z našim naročnikom soustvarjate prihodnost kot Direktor centra oskrbe m/ž. Če ste strastni vodja z vizijo  vas vabimo  da čim prej oddate svojo prijavo!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Namestnik vodje trgovine  - CROPP,LPP FASHION d.o.o.,Tvoja misija: kakovostno vodenje trgovine ter spremljanje poslovnih ciljev blagovne znamke in podjetja  usposabljanje in motiviranje zaposlenih v trgovini ter spremljanje in usmerjanje njihovega kariernega razvoja  nudenje vrhunske storitve kupcem.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Specialist za program trajnostnega razvoja  / ESG officer (m/f),Banka Sparkasse d.d.,Te zanima področje ESG in te mika sooblikovanje razvoja ESG v bančništvu? Bi rad delal v dinamičnem timu  ki oblikuje trajnostno finančno izkušnjo prihodnosti? #verjemivase in se pridruži naši ekipi na delovnem mestu: SPECIALIST ZA PROGRAM TRAJNOSTNEGA RAZVOJA (m/ž) / ESG OFFICER (m/f).,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodajno servisnega centra Ljubljana ,KMAG - Kia Motors Adria Group d.o.o.,Vaša glavna odgovornost bo vodenje in upravljanje ekipe poslovne enote  ki šteje več kot 100 sodelavcev. Od vas bomo pričakovali uspešno uvedbo novih blagovnih znamk na lokalnem trgu in doseganje ciljev glede dobičkonosnosti ter zadovoljstva strank  v skladu z našo dolgoročno vizijo rasti. Naš maloprodajni cilj za leto 2024 je prodaja več kot 2700 avtomobilov.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja regije  - Osrednjeslovenska regija,AKTIVA VAROVANJE d.d.,Imate izkušnje z vodenjem tima? Znate motivirati sodelavce? Nudimo odlično priložnost za zaposlitev v Ljubljani!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Operativni vodja  - Ljubljana,AKTIVA VAROVANJE d.d.,Tvoje naloge bodo: vodenje  organiziranje in nadziranje izvajanja varovanja na varovanih območjih  sodelovanje pri zagotavljanju kadrovskih resursov...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Področni podsekretar,Javna agencija za znanstvenoraziskovalno in inovacijsko dejavnost Republike Slovenij,Splošne naloge delovnega mesta: samostojno oblikovanje sistemskih rešitev  ključnih dokumentov  priprava analiz  informacij  poročil in drugih analiz  informacij  poročil in drugih zahtevnejših gradiv  izvajanje najzahtevnejših nalog  sodelovanje pri delu programskega odbora  koordiniranje in organiziranje evalvacijskih postopkov.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja trgovine  - SINSAY,LPP FASHION d.o.o.,Tvoja misija: kakovostno vodenje trgovine ter spremljanje poslovnih ciljev blagovne znamke in podjetja  usposabljanje in motiviranje zaposlenih v trgovini ter spremljanje in usmerjanje njihovega kariernega razvoja ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja  v poslovnem področju Plast,ISKRA ISD d.o.o.,Naloge in odgovornosti: priprava CNC stružnic za zagon  struženje kovinskih izdelkov  izvajanje meritev po načrtu  spremljanje kakovosti proizvedenih izdelkov ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja trgovine poslovodja   Tuš market Notranje Gorice,Engrotuš d.o.o. (Tuš),bo obsegalo: vodenje in organizacija delovenega procesa v poslovni enoti  skrb za urejenost poslovne enote v skladu s standardi in navodili  motiviranje sodelavcev za doseganje poslovnih ciljev.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov  Digitalizacija industrijskih procesov,Helios TBLUS d.o.o.,Ste pripravljeni na nove delovne izzive? Vas zanima in veseli delo na področju informacijske tehnologije in vodenje projektov digitalizacije na področju proizvodnje  logistike in kasneje tudi ostalih oddelkov? Ste zanesljivi  samoiniciativni in razmišljate proaktivno? Delovno mesto bo novo in tako odlična priložnost  da s svojim znanjem in izkušnjami sooblikujete močno vlogo področja. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor področja Oskrbovalna veriga ,Iskraemeco d.d.,Brez najmanjšega dvoma lahko rečemo  da so visoko motivirani  odgovorni in proaktivni zaposleni glavni razlog za uspeh in razvoj našega podjetja. Razveselimo se vsake nove okrepitve naše ekipe talentiranih in prizadevnih strokovnjakov  ki si vneto prizadevajo za učinkovito reševanje problemov in nenehne izboljšave.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja ,GEN-I  d.o.o.,Iščemo IT projektnega vodjo  ki se bo pridružil ekipi v GEN-I z namenom vzpostavitve oz. prenove dokumentnega sistema. Projektni vodja bo sodeloval vse od faze priprave razpisne dokumentacije za implementacijo novih rešitev do vpeljave teh rešitev v procese GEN-I. Vabljeni k prijavi.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projekta  za področje avtomatizacije in digitalizacije proizvodnih procesov v farmaciji,Metronik d.o.o.,Od kandidata/kandidatke pričakujemo: izkušnje s področja vodenja projektov  dobro sposobnost timskega dela..,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja projektov ,Tosidos d.o.o.,Zaradi povečanega obsega del iščemo izkušenega in kompetentnegakandidata za delovno mesto:Vodja pojektov,upravljanje-svetovanje-vodenje,osrednjeslovenska
Izkušen tehnolog - vodja,REKRUTER jkps d.o.o.,Manjše  tehnološko napredno in razvojno podjetje išče izkušenega tehnologa z vodstvenim potencialom.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Skrbnik orodij – tooling manager ,Iskra Mehanizmi  d.o.o.,Opis del in nalog: kalkulacija SC za plastične kose  tehnična pomoč na projektih  vodenje podprojektov ...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodjo prodaje ključnim kupcem (Key Account Manager),AD Vita d.o.o.,Kaj so  ključni izzivi? Razvoj novih poslovnih partnerjev in podpora obstoječim partnerjem; ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Računovodja,Fenolit  d.d.,Iščete nove karierne priložnosti? V svoje vrste vabimo Računovodjo. Če imate vsaj VI. stopnjo ekonomske izobrazbe  izkušnje s področja računovodstva in financ  se prijavite preko portala ali na e-mail: anja.cstajnrajh@fenolit.si. Kandidatom nudimo stimulativno delovno okolje  ki spodbuja povezovanje in kolegialnost  kreativno delo in možnost izpopolnjevanja s področja dela.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja ,TEAM7 d.o.o.,Od kandidata se pričakuje poznavanje področja elektrotehnike ter osnovno poznavanje ekonomskega vidika poslovanja. Kandidatu omogočamo vso nadaljnjo podporo pri pridobivanju znanj  ki so potrebna za to delovno mesto.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja organizacije dela ,Salax d.o.o.,Svojo prijavo z življenjepisom pošljite na elektronski naslov bettina.rogac@salax.si. Za več informacij smo za vas na voljo na tel. št. 040 585 270.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Specialist/Vodja razvoja poslovanja razvojno raziskovalnih storitev / Business Development Specialist/Manager,Labena d.o.o.,Vas navdušujejo inovacije v biotehnologiji in biofarmaciiji  ki imajo lahko znaten pozitiven vpliv na človeška življenja? V Labena d.o.o. iščemo novega sodelavca za delovno mesto Specialista/Vodjo razvoja poslovanja razvojno raziskovalnih storitev.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja Hipermarketa  v Osrednji Sloveniji,Mercator d.o.o.,Če si pozitivno naravnan  samoiniciativen in odgovoren. Če imaš odlične organizacijske sposobnosti in ti je učenje in dinamično delovno okolje domače. Potem te vabimo  da se nam pridružiš.,upravljanje-svetovanje-vodenje,osrednjeslovenska
IT Business Unit Manager ,FirstClass  kadrovsko svetovanje  d.o.o.,Ste visoko motiviran in podjetniški vodja s strastjo do spodbujanja poslovne rasti? Ali imate raznolik nabor spretnosti  od finančne bistrosti do strokovnega znanja o dobavni verigi? Če je tako  imamo za vas razburljivo priložnost!,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju GRAD d.d. kot projektni vodja. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja programov ,FirstClass  kadrovsko svetovanje  d.o.o.,Za naše partnersko podjetje Impact Hub Ljubljana iščemo mladega  motiviranega in zagnanega sodelavca. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Projektni vodja v razvoju - področje mobilnosti ,FirstClass  kadrovsko svetovanje  d.o.o.,Za naše partnersko podjetje  NLB Lease&amp;Go d.o.o. iščemo mladega  motiviranega in zagnanega sodelavca.Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju NLB Lease&amp;Go d.o.o. v oddelku razvoja kot projektni vodja v razvoju na področju mobilnosti.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja klicnega centra,CapInvestment d.o.o.,V svojo ekipo vabimo novega sodelavca z odličnim znanjem nemškega jezika  kise zna v nemščini tekoče sporazumevati pisno in ustno.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja kleparsko-ličarske delavnice,MAKOMA D.O.O.,Pričakujemo: Vsaj V.  stopnjo izobrazbe ustrezne smeri  vsaj 5 let izkušenj iz področja kleparsko-ličarskih storitev  vešč uporabe orodji  pripomočkov ter materialov s področja kleparsko – ličarske dejavnosti  znanje angleškega ali nemškega jezika...,upravljanje-svetovanje-vodenje,osrednjeslovenska
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,upravljanje-svetovanje-vodenje,osrednjeslovenska
Strokovnjak za upravljanje lokacij / nepremičnin (Property Specialist),Tawal S,Odgovoren/a boš za celovito izvajanje in upravljanje dejavnosti pridobivanja in najema lokacij  pri čemer boš nenehno sodeloval/a z lastniki nepremičnin  ustreznimi vladnimi organi ter ekipama TAWAL Europe in sedežem podjetja (HQ). Ključni del tvojega vsakdana bo povezovanje z lastniki nepremičnin in obravnavanje njihovih zahtev  povratnih informacij in pritožb ter ukrepanje.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Operations manager,Tawal S,Odgovornen/a boš za vodenje celovitih dejavnosti obratovanja  vzdrževanja in izboljšav telekomunikacijskih sredstev (vključno s stolpi in pripadajočo opremo) v TAWAL Slovenia. Tvoja glavna skrb bo  zagotavljanje brezhibnosti in učinkovitosti telekomunikacijske infrastrukture ter vodenje potrebnih inženirskih analiz  ocen in načrtov. Ali iščemo prav tebe?,upravljanje-svetovanje-vodenje,osrednjeslovenska
HR Business Partner/HR poslovni partner ,Iskraemeco d.d.,Brez najmanjšega dvoma lahko rečemo  da so visoko motivirani  odgovorni in proaktivni zaposleni glavni razlog za uspeh in razvoj našega podjetja. Razveselimo se vsake nove okrepitve naše ekipe talentiranih in prizadevnih strokovnjakov  ki si vneto prizadevajo za učinkovito reševanje problemov in nenehne izboljšave.,upravljanje-svetovanje-vodenje,osrednjeslovenska
Direktor centra starejši,DEOS  celostna oskrba starostnikov  d.o.o.,žba DEOS  celostna oskrba starostnikov  d.o.o.  ponuja priložnost na delovnem mestu Direktor centra za starejše na lokaciji v Ljubljani. ,upravljanje-svetovanje-vodenje,osrednjeslovenska
Vodja prodaje ključnim kupcem ,Salax d.o.o.,V kolikor vas je oglas pritegnil in vas zanima delovno mesto  vas vabimo k prijavi na elektronski naslov ajla.velic@salax.si. Za več informacij o delovnem mestu smo za vas na voljo na tel. št. 040 151 530.,upravljanje-svetovanje-vodenje,osrednjeslovenska
